,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
1807,University of the Virgin Islands,St. Thomas,VI,1898.0,Pub,Non,0.67,,19915.0,29176.0,,0.09,9480.0,Coed,0.003,0.759,0.006999999999999999,0.1,0.062
1808,University of the West,Rosemead,CA,106.0,Priv,Min,0.83,0.5,22524.0,22524.0,,,,Coed,0.03,0.015,0.11900000000000001,0.716,0.368
1809,Upper Iowa University,Fayette,IA,4275.0,Priv,Mod,0.602,0.307,40470.0,40470.0,0.58,0.28,28927.0,Coed,0.005,0.204,0.021,0.062,0.12300000000000001
1810,Urbana University,Urbana,OH,1461.0,Priv,Mod,0.7,,,,0.7,0.13,21322.0,Coed,,,,,
1811,Ursinus College,Collegeville,PA,1435.0,Priv,Mod,0.888,0.746,70052.0,70052.0,0.83,0.34,42113.0,Coed,0.001,0.08,0.040999999999999995,0.079,0.022000000000000002
1812,Ursuline College,Pepper Pike,OH,621.0,Priv,Min,0.708,0.308,47566.0,47566.0,0.84,0.21,29365.0,Not Reported,0.0,0.218,0.023,0.016,0.019
1813,Uta Mesivta of Kiryas Joel,Monroe,NY,989.0,Priv,Not Reported,,,,,,,,Men,,,,,
1814,Utah State University,Logan,UT,24880.0,Pub,Mod,0.73,0.205,18349.0,32887.0,0.7,0.61,21080.0,Coed,0.018000000000000002,0.009000000000000001,0.013999999999999999,0.062,0.011000000000000001
1815,Utah Valley University,Orem,UT,39397.0,Pub,Non,0.64,0.147,,,0.66,0.22,18880.0,Coed,0.006,0.01,0.021,0.11900000000000001,0.019
1816,Utica College,Utica,NY,3722.0,Priv,Mod,0.7,0.41700000000000004,36993.0,36993.0,0.62,0.23,29054.0,Coed,0.005,0.105,0.039,0.087,0.008
1817,Valdosta State University,Valdosta,GA,8778.0,Pub,Mod,0.687,0.158,20325.0,31380.0,0.96,0.07,27233.0,Coed,0.002,0.389,0.013000000000000001,0.065,0.022000000000000002
1818,Valley City State University,Valley City,ND,1404.0,Pub,Non,0.6809999999999999,0.267,19053.0,23466.0,0.76,0.36,27460.0,Coed,0.013000000000000001,0.025,0.006999999999999999,0.057999999999999996,0.02
1819,Valley Forge University,Phoenixville,PA,705.0,Priv,Min,0.69,0.359,35690.0,35690.0,0.55,0.17,34920.0,Coed,0.003,0.166,0.015,0.16699999999999998,0.011000000000000001
1820,Valparaiso University,Valparaiso,IN,3217.0,Priv,Mod,0.8,0.632,56900.0,56900.0,0.94,0.33,38265.0,Coed,0.001,0.057,0.022000000000000002,0.098,0.040999999999999995
1821,VanderCook College of Music,Chicago,IL,122.0,Priv,Mod,0.73,0.5710000000000001,45718.0,45718.0,,0.93,35559.0,Coed,0.0,0.034,0.011000000000000001,0.25,0.022000000000000002
1822,Vanderbilt University,Nashville,TN,6871.0,Priv,Most,0.97,0.8590000000000001,70274.0,70274.0,1.0,0.13,22854.0,Coed,0.005,0.099,0.136,0.099,0.071
1823,Vanguard University of Southern California,Costa Mesa,CA,1848.0,Priv,Mod,0.745,0.589,47810.0,47810.0,,1.0,24840.0,Coed,0.003,0.055999999999999994,0.048,0.43200000000000005,0.021
1824,Vassar College,Poughkeepsie,NY,2446.0,Priv,Very,,0.878,75860.0,75860.0,1.0,0.0,21473.0,Coed,0.0,0.044000000000000004,0.13,0.125,0.085
