,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
1121,University of New Orleans,New Orleans,LA,6472.0,Pub,Min,0.62,0.141,25224.0,30060.0,0.67,0.6,20723.0,Coed,0.003,0.154,0.091,0.131,0.045
1122,University of North Alabama,Florence,AL,6221.0,Pub,Min,0.758,0.168,22930.0,32530.0,0.5,0.68,28283.0,Coed,0.009000000000000001,0.156,0.006999999999999999,0.032,0.027000000000000003
1123,University of North Carolina School of the Arts,Winston-Salem,NC,890.0,Pub,Not Reported,0.88,0.4394890688259114,22279.0,38822.0,0.62,0.49,28551.0,Coed,0.013000000000000001,0.09,0.025,0.079,0.027999999999999997
1124,University of North Carolina at Asheville,Asheville,NC,3743.0,Pub,Mod,0.731,0.457,20641.0,37989.0,0.78,0.17,22545.0,Coed,0.006,0.046,0.021,0.063,0.013999999999999999
1125,University of North Carolina at Chapel Hill,Chapel Hill,NC,19117.0,Pub,Very,0.972,0.8240000000000001,24234.0,51413.0,1.0,0.06,22466.0,Coed,0.005,0.081,0.115,0.085,0.035
1126,University of North Carolina at Charlotte,Charlotte,NC,24387.0,Pub,Mod,0.8190000000000001,0.32,23046.0,36480.0,0.55,0.29,28050.0,Coed,0.003,0.168,0.076,0.10400000000000001,0.027000000000000003
1127,University of North Carolina at Greensboro,Greensboro,NC,16641.0,Pub,Mod,0.76,0.019,19893.0,35052.0,0.76,0.62,27088.0,Coed,0.004,0.3,0.054000000000000006,0.105,0.021
1128,University of North Carolina at Pembroke,Pembroke,NC,6069.0,Pub,Mod,0.737,0.207,41820.71224165342,46243.2507936508,0.64,0.18,26048.0,Coed,0.156,0.337,0.017,0.066,0.009000000000000001
1129,University of North Carolina at Wilmington,Wilmington,NC,14502.0,Pub,Mod,0.866,0.54,25350.0,39415.0,0.44,0.23,26315.0,Coed,0.005,0.046,0.02,0.07,0.015
1130,University of North Dakota,Grand Forks,ND,10518.0,Pub,Min,0.8,0.278,23681.0,27787.0,0.61,0.24,29789.73867313916,Coed,0.013000000000000001,0.024,0.019,0.040999999999999995,0.048
1131,University of North Florida,Jacksonville,FL,14494.0,Pub,Mod,0.81,0.302,21580.0,35298.0,0.9,0.47,19290.0,Coed,0.002,0.092,0.053,0.131,0.019
1132,University of North Georgia,Dahlonega,GA,18173.0,Pub,Mod,0.81,0.27899999999999997,23136.0,36948.0,0.68,0.62,12345.0,Coed,0.002,0.043,0.032,0.12300000000000001,0.017
1133,University of North Texas,Denton,TX,31405.0,Pub,Mod,0.7809999999999999,0.282,41820.71224165342,46243.2507936508,0.61,0.49,25808.0,Coed,0.003,0.141,0.066,0.26,0.035
1134,University of Northern Colorado,Greeley,CO,9876.0,Pub,Mod,0.715,0.28,26442.0,38130.0,0.77,0.74,24149.0,Coed,0.004,0.044000000000000004,0.024,0.226,0.011000000000000001
1135,University of Northern Iowa,Cedar Falls,IA,9561.0,Pub,Mod,0.836,0.4,21294.0,31836.0,0.66,0.65,24474.0,Coed,0.004,0.028999999999999998,0.015,0.04,0.027999999999999997
1136,University of Northwestern St. Paul,St. Paul,MN,3443.0,Priv,Mod,0.79,0.574,44430.0,44430.0,0.72,0.26,45485.0,Coed,0.003,0.036000000000000004,0.038,0.06,0.008
1137,University of Notre Dame,Notre Dame,IN,8617.0,Priv,Most,0.98,0.937,74193.0,74193.0,1.0,0.17,27686.0,Coed,0.002,0.04,0.051,0.115,0.068
1138,University of Oklahoma,Norman,OK,22032.0,Pub,Mod,0.9209999999999999,0.396,27041.0,42422.0,0.79,0.46,30641.0,Coed,0.040999999999999995,0.049,0.067,0.1,0.042
1139,University of Oregon,Eugene,OR,19101.0,Pub,Mod,0.85,0.529,30276.0,54171.0,0.54,0.27,25729.0,Coed,0.006,0.025,0.07200000000000001,0.142,0.099
1140,University of Pennsylvania,Philadelphia,PA,10183.0,Priv,Most,0.983,0.852,78186.0,78186.0,1.0,0.4180911233307144,22103.0,Coed,0.001,0.085,0.247,0.12,0.13
1141,University of Pikeville,Pikeville,KY,1599.0,Priv,Non,0.57,0.17,34470.0,34470.0,0.83,0.54,23890.0,Coed,0.008,0.064,0.009000000000000001,0.008,0.017
1142,University of Pittsburgh,Pittsburgh,PA,19330.0,Pub,Very,0.93,0.6509999999999999,34409.0,48437.0,0.54,0.13,39462.0,Coed,0.001,0.053,0.11,0.044000000000000004,0.048
1143,University of Pittsburgh at Bradford,Bradford,PA,1293.0,Pub,Min,0.68,0.373,29796.0,41264.0,0.58,0.15,37735.0,Coed,0.006,0.129,0.033,0.057999999999999996,0.022000000000000002
1144,University of Pittsburgh at Greensburg,Greensburg,PA,1523.0,Pub,Mod,0.76,0.33,29954.0,41422.0,0.58,0.15,38091.0,Coed,0.001,0.061,0.047,0.059000000000000004,0.011000000000000001
1145,University of Pittsburgh at Johnstown,Johnstown,PA,2769.0,Pub,Mod,0.79,0.316,29152.0,40620.0,0.54,0.17,38056.0,Coed,0.002,0.040999999999999995,0.017,0.016,0.02
1146,University of Portland,Portland,OR,3770.0,Priv,Mod,0.917,0.706,64970.0,64970.0,0.69,0.96,29186.0,Coed,0.002,0.011000000000000001,0.136,0.11599999999999999,0.031
1147,University of Puget Sound,Tacoma,WA,2364.0,Priv,Mod,0.807,0.6579999999999999,68146.0,68146.0,0.78,0.44,32999.0,Coed,0.001,0.018000000000000002,0.07,0.08800000000000001,0.004
1148,University of Redlands,Redlands,CA,3493.0,Priv,Mod,0.85,0.653,71488.0,71488.0,0.84,0.4,32662.0,Coed,0.008,0.046,0.066,0.275,0.013999999999999999
1149,University of Rhode Island,Kingston,RI,15092.0,Pub,Mod,0.85,0.47200000000000003,26168.0,43288.0,0.65,0.22,34050.0,Coed,0.002,0.054000000000000006,0.033,0.10099999999999999,0.015
1150,University of Richmond,University of Richmond,VA,3227.0,Priv,Very,0.94,0.8220000000000001,69750.0,69750.0,1.0,0.19,27406.0,Coed,0.001,0.075,0.084,0.095,0.1
1151,University of Rochester,Rochester,NY,5796.0,Priv,Very,0.96,0.4394890688259114,72375.0,72375.0,0.96,0.26,29553.0,Coed,0.001,0.07,0.147,0.099,0.258
1152,University of Saint Joseph,West Hartford,CT,810.0,Priv,Mod,0.75,0.611,52279.0,52279.0,0.79,0.2,38916.0,Not Reported,0.002,0.139,0.047,0.152,0.009000000000000001
1153,University of San Diego,San Diego,CA,5855.0,Priv,Very,0.9,0.6829999999999999,70999.0,70999.0,0.77,0.56,31264.0,Coed,0.004,0.039,0.08199999999999999,0.223,0.10099999999999999
1154,University of San Francisco,San Francisco,CA,6704.0,Priv,Mod,0.831,0.657,71092.0,71092.0,0.74,0.32,33475.0,Coed,0.002,0.049,0.28600000000000003,0.25,0.141
1155,University of Science and Arts of Oklahoma,Chickasha,OK,888.0,Pub,Mod,0.7659999999999999,0.28800000000000003,13780.0,24130.0,0.68,0.23,21276.0,Coed,0.156,0.049,0.01,0.08,0.081
1156,University of Scranton,Scranton,PA,3810.0,Priv,Mod,0.87,0.72,64272.0,64272.0,0.69,0.79,41395.0,Coed,0.002,0.018000000000000002,0.027999999999999997,0.094,0.013999999999999999
1157,University of Sioux Falls,Sioux Falls,SD,1319.0,Priv,Mod,0.73,0.289,31060.0,31060.0,0.79,0.53,33862.0,Coed,0.002,0.057,0.013999999999999999,0.02,0.013000000000000001
1158,University of South Alabama,Mobile,AL,10293.0,Pub,Mod,0.74,0.21600000000000003,23660.0,33530.0,0.54,0.8,29789.73867313916,Coed,0.006999999999999999,0.235,0.035,0.038,0.028999999999999998
1159,University of South Carolina,Columbia,SC,26733.0,Pub,Mod,0.88,0.625,23358.0,44598.0,0.79,0.83,28169.0,Coed,0.002,0.09,0.033,0.047,0.035
1160,University of South Carolina Aiken,Aiken,SC,3344.0,Pub,Mod,0.64,0.203,22727.0,33185.0,0.66,0.15,28908.0,Coed,0.004,0.273,0.012,0.05,0.03
1161,University of South Carolina Upstate,Spartanburg,SC,5594.0,Pub,Mod,0.74,0.358,26307.0,37809.0,0.52,0.81,27935.0,Coed,0.002,0.281,0.025,0.049,0.025
1162,University of South Dakota,Vermillion,SD,7590.0,Pub,Min,0.774,0.401,22856.0,26220.0,0.57,0.67,29548.0,Coed,0.016,0.034,0.015,0.043,0.021
1163,University of South Florida,Tampa,FL,32238.0,Pub,Mod,0.91,0.551,23320.0,34234.0,0.68,0.19,21565.0,Coed,0.002,0.10800000000000001,0.077,0.228,0.067
1164,University of Southern California,Los Angeles,CA,19170.0,Priv,Most,0.7677559478127401,0.768,77909.0,77909.0,1.0,0.53,28228.0,Coed,0.002,0.053,0.239,0.166,0.139
1165,University of Southern Indiana,Evansville,IN,7513.0,Pub,Mod,0.72,0.26899999999999996,20655.0,31311.0,0.89,0.94,24074.0,Coed,0.002,0.044000000000000004,0.013999999999999999,0.038,0.021
1166,University of Southern Maine,Portland,ME,6189.0,Pub,Mod,0.625,0.136,20276.0,34016.0,0.81,0.19,29789.73867313916,Coed,0.006999999999999999,0.043,0.023,0.024,0.013000000000000001
1167,University of Southern Mississippi,Hattiesburg,MS,11815.0,Pub,Mod,0.715,0.259,23516.0,25516.0,0.72,0.63,28068.0,Coed,0.005,0.28800000000000003,0.013999999999999999,0.034,0.016
1168,University of St. Francis,Fort Wayne,IN,1778.0,Priv,Non,0.7440000000000001,0.39899999999999997,45608.0,45608.0,0.8,0.21,28428.0,Coed,0.001,0.075,0.016,0.084,0.009000000000000001
1169,University of St. Francis,Joliet,IL,1371.0,Priv,Mod,0.805,0.406,47810.0,47810.0,0.86,0.28,30851.0,Coed,0.003,0.08199999999999999,0.022000000000000002,0.225,0.040999999999999995
1170,University of St. Mary,Leavenworth,KS,732.0,Priv,Mod,0.615,0.379,42590.0,42590.0,0.82,0.4180911233307144,29789.73867313916,Coed,0.011000000000000001,0.122,0.024,0.165,0.012
1171,University of St. Thomas,Houston,TX,2047.0,Priv,Mod,0.82,0.336,45756.0,45756.0,0.72,0.25,29896.0,Coed,0.002,0.076,0.135,0.51,0.085
1172,University of St. Thomas,St. Paul,MN,6395.0,Priv,Mod,0.86,0.643,61458.0,61458.0,0.88,0.34,40983.0,Coed,0.002,0.034,0.044000000000000004,0.054000000000000006,0.027999999999999997
1173,University of Tampa,Tampa,FL,8443.0,Priv,Mod,0.763,0.502,41128.0,41128.0,0.62,0.92,32727.0,Coed,0.001,0.052000000000000005,0.022000000000000002,0.145,0.091
1174,University of Tennessee,Knoxville,TN,22815.0,Pub,Mod,0.87,0.48700000000000004,32010.0,50200.0,0.62,0.2,25372.0,Coed,0.002,0.062,0.04,0.045,0.013999999999999999
1175,University of Tennessee at Chattanooga,Chattanooga,TN,10176.0,Pub,Mod,0.73,0.221,25265.0,41383.0,0.67,0.25,24274.0,Coed,0.003,0.10300000000000001,0.022000000000000002,0.043,0.013999999999999999
